nombre_empleado;edad;departamento;salud;dinero;familia;amor
Laura Ramírez;59;Ventas;16%;9%;12%;13%
Juan Arango;18;Ventas;19%;17%;22%;23%
Luis Fernández;58;Producción;4%;9%;18%;7%
Luis Rodríguez;58;Logística;5%;10%;3%;18%
Mariana Martínez;38;Logística;18%;13%;7%;5%
Luis López;30;Producción;3%;17%;8%;19%
Mariana Rodríguez;44;Logística;1%;13%;24%;11%
Juan Torres;38;Ventas;25%;6%;8%;5%
Valentina Rodríguez;37;Finanzas;11%;3%;18%;4%
Andrea Pérez;61;Sistemas;1%;25%;20%;22%
Pedro Sánchez;21;Recursos Humanos;4%;9%;2%;14%
Laura Fernández;30;Producción;7%;12%;5%;22%
Sebastián Rodríguez;46;Ventas;12%;15%;14%;8%
Valentina Arango;29;Logística;24%;2%;13%;20%
Sebastián Rodríguez;43;Sistemas;17%;20%;6%;6%
Mariana Gómez;38;Recursos Humanos;23%;2%;15%;18%
Sebastián Rodríguez;20;Producción;13%;12%;13%;9%
Luis Martínez;29;Finanzas;17%;11%;18%;20%
Valentina Martínez;21;Sistemas;10%;23%;5%;21%
Sebastián López;44;Marketing;14%;13%;25%;19%
Carlos Fernández;65;Ventas;1%;7%;12%;4%
Pedro Ramírez;58;Ventas;14%;16%;24%;15%
Valentina Fernández;20;Compras;2%;13%;17%;16%
Pedro Pérez;55;Compras;22%;16%;19%;4%
Laura Fernández;54;Compras;21%;21%;5%;10%
Juan Ramírez;57;Logística;21%;18%;15%;10%
Laura Sánchez;37;Ventas;8%;14%;21%;20%
Mariana Rodríguez;39;Marketing;21%;3%;16%;24%
Laura Arango;31;Logística;25%;3%;4%;4%
Camila Sánchez;49;Marketing;10%;7%;19%;17%
Mariana Pérez;26;Recursos Humanos;19%;11%;6%;2%
Mariana López;27;Ventas;22%;14%;18%;4%
Andrea Ramírez;19;Marketing;1%;2%;21%;16%
Mariana Gómez;59;Finanzas;15%;6%;20%;2%
Pedro Sánchez;34;Ventas;22%;16%;13%;9%
Valentina Ramírez;52;Producción;8%;1%;13%;4%
Laura Pérez;53;Producción;18%;3%;9%;7%
Pedro López;53;Marketing;3%;25%;19%;11%
Carlos Martínez;39;Ventas;3%;21%;5%;23%
Carlos Martínez;57;Ventas;23%;12%;23%;24%
Andrea Ramírez;62;Finanzas;1%;1%;4%;4%
Juan Ramírez;29;Recursos Humanos;7%;13%;23%;14%
Sebastián Torres;26;Compras;7%;14%;11%;23%
Luis Gómez;35;Compras;23%;5%;2%;14%
Laura Ramírez;55;Finanzas;15%;5%;20%;22%
Luis Ramírez;35;Logística;14%;21%;22%;24%
Mariana Ramírez;51;Recursos Humanos;10%;8%;19%;11%
Valentina Torres;36;Finanzas;8%;12%;7%;20%
Valentina López;59;Ventas;1%;3%;10%;21%
Sebastián Ramírez;53;Compras;20%;8%;5%;8%
Sebastián Torres;43;Producción;9%;10%;20%;7%
Juan López;60;Producción;8%;11%;13%;18%
Valentina Gómez;32;Recursos Humanos;5%;19%;22%;6%
Camila Gómez;33;Producción;8%;8%;8%;25%
Laura Pérez;31;Logística;11%;24%;7%;13%
Carlos Ramírez;58;Marketing;6%;5%;22%;10%
Valentina Sánchez;30;Ventas;19%;7%;4%;19%
Sebastián Sánchez;60;Producción;18%;13%;1%;18%
Sebastián Torres;60;Sistemas;20%;2%;15%;2%
Camila Gómez;31;Sistemas;23%;5%;10%;6%
Laura Pérez;31;Sistemas;3%;25%;1%;5%
Luis Gómez;35;Finanzas;4%;21%;11%;23%
Luis Martínez;18;Logística;13%;23%;11%;22%
Mariana Fernández;33;Ventas;4%;10%;20%;24%
Juan Sánchez;59;Ventas;13%;25%;15%;25%
Mariana Rodríguez;48;Compras;20%;22%;15%;23%
Laura Arango;47;Sistemas;23%;5%;24%;12%
Pedro López;54;Ventas;7%;5%;9%;17%
Pedro Rodríguez;23;Producción;23%;3%;6%;23%
Andrea Fernández;36;Compras;14%;20%;9%;5%
Mariana Arango;39;Finanzas;3%;3%;17%;11%
Laura Pérez;25;Recursos Humanos;6%;10%;4%;17%
Mariana Sánchez;27;Compras;14%;15%;22%;3%
Laura Gómez;58;Recursos Humanos;19%;4%;9%;8%
Laura Sánchez;27;Compras;12%;7%;23%;5%
Mariana Ramírez;24;Marketing;20%;21%;3%;13%
Camila Torres;39;Marketing;19%;4%;16%;25%
Andrea Fernández;65;Sistemas;20%;5%;25%;14%
Mariana Gómez;32;Producción;16%;15%;17%;10%
Juan Torres;24;Finanzas;4%;9%;9%;13%
Pedro Torres;65;Sistemas;2%;1%;13%;17%
Juan Gómez;61;Marketing;6%;11%;13%;11%
Mariana Torres;56;Recursos Humanos;20%;12%;15%;19%
Laura Torres;26;Sistemas;11%;13%;25%;19%
Valentina Gómez;45;Recursos Humanos;6%;20%;24%;5%
Carlos Arango;33;Compras;5%;2%;2%;8%
Luis Pérez;65;Ventas;3%;17%;6%;13%
Andrea Arango;28;Compras;14%;12%;1%;6%
Valentina Rodríguez;23;Recursos Humanos;15%;15%;7%;19%
Carlos Ramírez;64;Finanzas;9%;12%;3%;6%
Sebastián Torres;62;Marketing;6%;11%;20%;3%
Luis Rodríguez;27;Producción;2%;7%;12%;2%
Laura López;40;Producción;25%;2%;4%;20%
Andrea Gómez;34;Marketing;20%;11%;5%;13%
Valentina Ramírez;29;Recursos Humanos;21%;6%;16%;15%
Camila López;34;Compras;10%;7%;8%;3%
Laura López;65;Ventas;15%;2%;21%;5%
Valentina Torres;34;Marketing;20%;2%;1%;23%
Carlos Gómez;23;Sistemas;14%;16%;16%;13%
Juan Fernández;65;Sistemas;17%;16%;1%;10%
Andrea Fernández;61;Logística;2%;1%;3%;9%
Mariana Martínez;42;Producción;11%;6%;6%;2%
Pedro Rodríguez;43;Compras;13%;6%;17%;5%
Carlos Martínez;32;Sistemas;19%;9%;14%;21%
Valentina Torres;45;Recursos Humanos;2%;8%;17%;4%
Juan Gómez;21;Ventas;16%;25%;5%;11%
Andrea Ramírez;42;Logística;4%;22%;20%;3%
Carlos Sánchez;24;Compras;11%;15%;20%;17%
Pedro López;52;Compras;9%;1%;6%;22%
Laura Pérez;35;Sistemas;22%;24%;1%;19%
Laura Arango;24;Ventas;13%;15%;18%;24%
Andrea Gómez;27;Marketing;2%;10%;11%;8%
Mariana López;24;Finanzas;12%;9%;17%;5%
Andrea Rodríguez;23;Recursos Humanos;5%;16%;9%;9%
Mariana Sánchez;56;Ventas;20%;21%;7%;9%
Pedro Ramírez;23;Recursos Humanos;19%;5%;6%;24%
Carlos Sánchez;46;Producción;12%;25%;11%;19%
Pedro Pérez;60;Producción;20%;2%;19%;10%
Pedro López;36;Producción;1%;24%;7%;23%
Juan Martínez;22;Ventas;23%;23%;14%;24%
Juan Arango;28;Sistemas;7%;9%;11%;17%
Pedro López;30;Sistemas;3%;3%;16%;6%
Camila Fernández;20;Ventas;23%;6%;8%;3%
Pedro Rodríguez;33;Ventas;21%;22%;16%;17%
Camila Sánchez;55;Compras;3%;23%;6%;22%
Luis Gómez;56;Recursos Humanos;14%;14%;3%;16%
Carlos Fernández;20;Logística;9%;6%;7%;11%
Mariana Arango;27;Ventas;18%;14%;7%;24%
Andrea Sánchez;43;Marketing;11%;21%;19%;19%
Mariana Gómez;46;Producción;14%;15%;10%;2%
Juan Torres;30;Marketing;22%;22%;9%;18%
Carlos Rodríguez;60;Marketing;22%;4%;19%;25%
Carlos Gómez;62;Producción;14%;7%;23%;22%
Sebastián Fernández;61;Finanzas;21%;6%;8%;1%
Andrea Torres;61;Recursos Humanos;2%;4%;21%;20%
Mariana Sánchez;60;Marketing;5%;12%;15%;22%
Juan Arango;22;Ventas;8%;17%;3%;7%
Camila Rodríguez;23;Recursos Humanos;7%;1%;13%;23%
Andrea Gómez;62;Recursos Humanos;19%;11%;15%;21%
Laura Arango;48;Compras;4%;17%;23%;21%
Juan Ramírez;40;Recursos Humanos;3%;4%;13%;24%
Mariana Fernández;28;Sistemas;14%;17%;13%;10%
Juan Rodríguez;32;Producción;18%;5%;15%;2%
Pedro Gómez;23;Finanzas;21%;10%;24%;15%
Juan Rodríguez;62;Marketing;5%;7%;25%;10%
Camila Pérez;64;Sistemas;8%;17%;19%;13%
Laura López;50;Sistemas;19%;10%;22%;19%
Valentina Gómez;48;Logística;15%;7%;16%;4%
Carlos Pérez;63;Logística;9%;17%;18%;20%
Camila López;57;Sistemas;19%;8%;8%;21%
Luis Martínez;46;Logística;8%;18%;23%;11%
Luis Pérez;63;Ventas;24%;23%;10%;14%
Mariana López;41;Producción;5%;13%;24%;17%
Luis Sánchez;18;Sistemas;10%;3%;10%;13%
Carlos Rodríguez;35;Recursos Humanos;2%;2%;21%;5%
Valentina Sánchez;20;Sistemas;22%;21%;21%;17%
Juan Martínez;36;Producción;12%;19%;1%;4%
Sebastián López;38;Compras;23%;5%;8%;21%
Sebastián Arango;36;Compras;19%;2%;24%;9%
Andrea Rodríguez;41;Sistemas;21%;7%;7%;7%
Andrea Gómez;35;Marketing;2%;20%;25%;20%
Pedro Ramírez;49;Sistemas;8%;15%;13%;21%
Luis Ramírez;19;Ventas;11%;17%;24%;5%
Carlos Sánchez;33;Producción;24%;13%;16%;1%
Camila Torres;21;Marketing;19%;17%;4%;21%
Carlos Fernández;32;Logística;22%;25%;10%;8%
Camila Torres;39;Ventas;15%;25%;24%;18%
Juan Pérez;20;Marketing;13%;22%;6%;16%
Pedro Fernández;61;Compras;4%;21%;10%;12%
Juan Gómez;46;Marketing;8%;17%;3%;9%
Camila Arango;42;Sistemas;2%;8%;21%;13%
Juan Ramírez;33;Marketing;1%;21%;7%;10%
Camila Gómez;39;Logística;8%;24%;13%;11%
Laura Torres;45;Finanzas;7%;20%;1%;14%
Sebastián Sánchez;31;Marketing;12%;1%;24%;11%
Andrea Ramírez;33;Producción;25%;20%;6%;19%
Luis Arango;52;Finanzas;6%;24%;11%;9%
Camila Sánchez;36;Marketing;6%;12%;21%;8%
Pedro Fernández;42;Compras;17%;19%;13%;11%
Andrea Arango;38;Finanzas;18%;4%;25%;4%
Juan Martínez;28;Producción;3%;2%;17%;22%
Luis Martínez;26;Marketing;3%;12%;13%;10%
Juan Arango;47;Logística;21%;10%;23%;4%
Andrea López;56;Finanzas;3%;11%;1%;9%
Valentina Sánchez;46;Sistemas;8%;6%;21%;24%
Camila Sánchez;59;Marketing;11%;11%;7%;19%
Andrea López;65;Producción;12%;13%;21%;12%
Mariana Martínez;50;Finanzas;22%;14%;2%;25%
Laura López;38;Logística;1%;12%;16%;20%
Juan Sánchez;51;Marketing;4%;18%;21%;3%
Mariana Arango;21;Recursos Humanos;19%;21%;10%;14%
Sebastián López;51;Finanzas;17%;11%;23%;6%
Carlos Rodríguez;53;Recursos Humanos;8%;14%;7%;19%
Juan Fernández;20;Sistemas;21%;19%;11%;11%
Pedro Arango;19;Producción;11%;22%;2%;2%
Juan Pérez;56;Sistemas;25%;19%;9%;13%
Laura Gómez;43;Logística;22%;15%;2%;19%
Carlos Fernández;22;Logística;23%;22%;12%;12%
Andrea Arango;44;Recursos Humanos;4%;3%;4%;22%
Pedro Rodríguez;59;Finanzas;23%;15%;14%;7%
Luis Arango;25;Producción;19%;22%;19%;8%
Sebastián Fernández;31;Logística;17%;25%;24%;2%
Laura Arango;21;Ventas;16%;7%;10%;1%
Luis Sánchez;42;Sistemas;1%;24%;14%;9%
Luis Arango;26;Sistemas;20%;24%;3%;25%
Juan Gómez;25;Sistemas;8%;7%;5%;21%
Luis Torres;54;Recursos Humanos;25%;21%;16%;2%
Laura López;32;Compras;19%;22%;12%;19%
Sebastián Fernández;57;Compras;23%;8%;3%;24%
Juan Arango;64;Producción;20%;3%;3%;4%
Carlos Pérez;33;Finanzas;16%;15%;24%;14%
Andrea Ramírez;60;Marketing;19%;5%;10%;5%
Carlos Rodríguez;32;Marketing;23%;25%;2%;3%
Camila Sánchez;35;Logística;24%;1%;21%;24%
Laura Martínez;47;Finanzas;20%;1%;2%;8%
Andrea Ramírez;18;Producción;15%;14%;22%;5%
Sebastián Fernández;23;Marketing;14%;21%;9%;11%
Pedro Rodríguez;35;Compras;5%;23%;13%;5%
Pedro Torres;59;Marketing;18%;7%;22%;8%
Valentina Gómez;63;Ventas;16%;3%;24%;21%
Camila Martínez;48;Finanzas;4%;19%;6%;15%
Camila Rodríguez;40;Logística;21%;17%;7%;12%
Mariana Pérez;57;Logística;7%;3%;13%;22%
Carlos Gómez;36;Recursos Humanos;13%;3%;18%;19%
Carlos Sánchez;27;Recursos Humanos;17%;18%;4%;17%
Pedro Ramírez;37;Compras;9%;9%;18%;14%
Carlos Martínez;63;Sistemas;19%;21%;22%;7%
Andrea Gómez;25;Producción;24%;23%;5%;14%
Andrea Pérez;60;Compras;6%;8%;13%;25%
Valentina Torres;27;Sistemas;16%;9%;14%;10%
Carlos Martínez;36;Compras;15%;20%;2%;22%
Andrea Sánchez;28;Logística;22%;18%;6%;25%
Pedro Martínez;32;Producción;3%;21%;20%;20%
Valentina Pérez;33;Compras;20%;25%;23%;11%
Carlos Gómez;44;Logística;14%;16%;24%;23%
Pedro Arango;50;Compras;19%;13%;23%;14%
Juan Gómez;24;Logística;23%;8%;14%;24%
Mariana Sánchez;34;Producción;5%;22%;24%;18%
Camila Ramírez;18;Producción;2%;9%;22%;12%
Mariana Fernández;21;Finanzas;15%;7%;10%;25%
Andrea Martínez;40;Compras;6%;16%;18%;24%
Camila López;53;Recursos Humanos;12%;24%;14%;19%
Carlos Arango;27;Marketing;25%;22%;9%;7%
Laura Gómez;44;Recursos Humanos;9%;24%;18%;10%
Pedro Torres;23;Sistemas;15%;19%;12%;9%
Carlos Torres;20;Producción;7%;24%;10%;23%
Sebastián Rodríguez;29;Ventas;10%;5%;20%;10%
Camila Arango;52;Logística;6%;10%;9%;21%
Juan López;28;Recursos Humanos;18%;21%;6%;13%
Laura Ramírez;18;Sistemas;24%;20%;7%;8%
Pedro Ramírez;19;Ventas;14%;25%;20%;25%
Valentina Sánchez;46;Ventas;11%;16%;22%;5%
Luis Torres;32;Compras;2%;21%;2%;4%
Juan Pérez;64;Marketing;10%;15%;18%;15%
Juan López;56;Finanzas;24%;1%;21%;9%
Laura Arango;41;Logística;5%;23%;4%;14%
Andrea Martínez;61;Ventas;17%;4%;22%;19%
Juan Gómez;61;Marketing;21%;12%;1%;25%
Carlos Sánchez;46;Finanzas;24%;22%;13%;1%
Mariana Torres;33;Sistemas;15%;25%;15%;12%
Sebastián Fernández;37;Producción;19%;11%;7%;15%
Juan Ramírez;48;Ventas;10%;6%;22%;21%
Luis Martínez;34;Logística;1%;20%;5%;8%
Valentina Sánchez;54;Compras;22%;4%;24%;21%
Carlos Gómez;41;Marketing;13%;14%;4%;11%
Andrea Ramírez;19;Ventas;3%;11%;11%;2%
Valentina López;47;Producción;8%;18%;20%;12%
Pedro Gómez;26;Compras;1%;12%;17%;18%
Luis Ramírez;50;Producción;16%;19%;9%;23%
Valentina Arango;29;Marketing;5%;15%;5%;4%
Sebastián Gómez;62;Marketing;9%;10%;9%;9%
Valentina López;58;Ventas;21%;5%;14%;20%
Juan López;28;Producción;21%;10%;3%;18%
Camila Ramírez;32;Producción;13%;23%;12%;24%
Andrea Ramírez;36;Sistemas;1%;20%;11%;25%
Valentina Martínez;55;Compras;19%;9%;19%;21%
Carlos Fernández;25;Compras;22%;17%;20%;15%
Valentina Rodríguez;43;Finanzas;17%;16%;8%;22%
Carlos López;60;Logística;20%;3%;9%;4%
Mariana Fernández;18;Compras;14%;4%;20%;21%
Mariana López;25;Recursos Humanos;9%;11%;1%;2%
Luis López;45;Producción;11%;23%;10%;21%
Sebastián Pérez;55;Recursos Humanos;24%;18%;6%;22%
Valentina López;22;Ventas;9%;20%;19%;18%
Valentina Arango;53;Producción;4%;24%;14%;12%
Luis Torres;39;Ventas;9%;15%;19%;6%
Camila Fernández;26;Sistemas;7%;3%;17%;9%
Valentina Ramírez;33;Recursos Humanos;1%;14%;5%;3%
Mariana Gómez;52;Recursos Humanos;7%;20%;6%;15%
Pedro Rodríguez;34;Marketing;3%;1%;14%;14%
Carlos López;18;Ventas;1%;4%;5%;12%
Andrea Arango;58;Sistemas;18%;4%;17%;2%
Camila Rodríguez;61;Ventas;23%;24%;14%;3%
Andrea Arango;62;Marketing;3%;12%;14%;18%
Sebastián Torres;43;Marketing;2%;17%;22%;14%
Laura Sánchez;30;Ventas;3%;5%;18%;18%
Carlos Pérez;42;Sistemas;7%;11%;16%;25%
Sebastián López;60;Recursos Humanos;13%;17%;17%;20%
Pedro López;31;Compras;15%;25%;16%;13%
Juan Arango;57;Recursos Humanos;19%;8%;17%;3%
Andrea Fernández;36;Compras;14%;15%;20%;11%
Pedro Martínez;52;Logística;16%;14%;3%;17%
Camila Ramírez;18;Finanzas;17%;17%;16%;24%
Carlos Arango;49;Ventas;15%;20%;5%;1%
Carlos Fernández;41;Sistemas;5%;18%;19%;20%
Sebastián Arango;30;Compras;23%;2%;11%;4%
Juan Martínez;55;Marketing;10%;4%;24%;19%
Luis Sánchez;49;Recursos Humanos;19%;21%;8%;6%
Andrea Pérez;36;Compras;21%;20%;13%;17%
Juan Torres;38;Producción;15%;19%;25%;11%
Luis Torres;36;Ventas;8%;20%;15%;12%
Mariana Rodríguez;42;Logística;18%;1%;13%;21%
Pedro López;36;Marketing;24%;3%;20%;9%
Andrea López;32;Logística;19%;4%;22%;6%
Pedro Martínez;45;Producción;16%;10%;24%;2%
Laura Martínez;58;Logística;10%;20%;20%;19%
Carlos Torres;46;Recursos Humanos;3%;21%;24%;13%
Camila Arango;52;Producción;25%;17%;6%;20%
Camila Torres;35;Sistemas;2%;18%;16%;11%
Pedro Arango;42;Logística;9%;25%;2%;7%
Sebastián Sánchez;50;Finanzas;3%;12%;10%;24%
Andrea Gómez;47;Finanzas;13%;24%;24%;20%
Pedro Martínez;38;Ventas;8%;18%;9%;14%
Pedro Sánchez;55;Finanzas;17%;11%;6%;25%
Luis Martínez;58;Logística;3%;7%;6%;23%
Sebastián Rodríguez;44;Recursos Humanos;3%;15%;19%;24%
Luis Fernández;41;Marketing;3%;15%;6%;2%
Camila Martínez;61;Sistemas;22%;16%;16%;19%
Camila Fernández;34;Recursos Humanos;19%;15%;15%;4%
Carlos Sánchez;65;Recursos Humanos;6%;12%;23%;1%
Carlos Sánchez;41;Recursos Humanos;3%;21%;19%;23%
Luis Arango;19;Producción;18%;25%;19%;16%
Mariana Gómez;65;Sistemas;1%;22%;3%;21%
Laura Rodríguez;48;Finanzas;20%;12%;9%;9%
Pedro Gómez;51;Producción;17%;15%;7%;14%
Laura Rodríguez;19;Sistemas;5%;21%;15%;12%
Luis Sánchez;19;Finanzas;6%;5%;5%;4%
Mariana Ramírez;50;Compras;7%;8%;20%;4%
Sebastián Ramírez;29;Sistemas;1%;11%;17%;6%
Pedro Gómez;40;Recursos Humanos;11%;2%;18%;23%
Laura Sánchez;33;Marketing;21%;25%;22%;21%
Valentina Arango;45;Logística;11%;9%;12%;18%
Pedro Arango;22;Finanzas;13%;17%;9%;4%
Mariana Arango;52;Compras;5%;16%;10%;19%
Camila Rodríguez;45;Recursos Humanos;3%;21%;20%;11%
Camila Rodríguez;65;Sistemas;24%;1%;11%;2%
Laura Pérez;30;Compras;11%;7%;21%;14%
Laura Torres;32;Finanzas;13%;20%;19%;17%
Juan Pérez;50;Compras;24%;16%;6%;14%
Camila Ramírez;64;Ventas;16%;25%;9%;13%
Valentina Ramírez;42;Producción;14%;11%;18%;9%
Carlos Gómez;42;Recursos Humanos;9%;14%;5%;18%
Pedro Martínez;27;Sistemas;22%;3%;22%;13%
Laura Fernández;31;Logística;17%;15%;2%;8%
Pedro Martínez;29;Recursos Humanos;21%;5%;15%;1%
Andrea Rodríguez;46;Marketing;21%;19%;7%;23%
Andrea Martínez;40;Ventas;2%;24%;7%;14%
Mariana Arango;30;Marketing;5%;21%;11%;15%
Mariana López;47;Marketing;22%;10%;2%;20%
Pedro Sánchez;60;Compras;15%;15%;10%;10%
Valentina Rodríguez;54;Marketing;24%;17%;8%;10%
Mariana Torres;26;Ventas;4%;21%;2%;22%
Carlos Fernández;50;Logística;7%;22%;21%;8%
Luis Arango;24;Recursos Humanos;25%;24%;8%;17%
Valentina Ramírez;52;Marketing;12%;15%;22%;5%
Camila Martínez;20;Producción;3%;4%;18%;18%
Camila Ramírez;34;Marketing;2%;16%;4%;6%
Luis López;27;Compras;8%;6%;10%;11%
Sebastián Ramírez;45;Ventas;24%;13%;9%;12%
Laura Sánchez;29;Recursos Humanos;19%;2%;25%;9%
Camila Torres;49;Marketing;21%;6%;17%;15%
Andrea Pérez;53;Marketing;8%;10%;24%;4%
Camila Rodríguez;22;Finanzas;9%;5%;7%;20%
Sebastián Arango;42;Compras;18%;18%;5%;6%
Andrea Arango;42;Recursos Humanos;18%;6%;10%;13%
Juan López;35;Sistemas;3%;4%;16%;10%
Andrea Fernández;53;Logística;10%;25%;22%;6%
Andrea López;30;Compras;2%;2%;14%;6%
Sebastián Torres;51;Recursos Humanos;25%;3%;21%;17%
Laura Arango;51;Producción;9%;25%;8%;3%
Juan Pérez;48;Compras;25%;9%;19%;19%
Luis Pérez;44;Marketing;4%;21%;15%;6%
Camila Pérez;49;Recursos Humanos;6%;13%;4%;4%
